instance,bacnet_type,name,wire_offset,register_count,bits,encoding,scale,bacnet_units,units,period_ms,stale_ms,states,native_access,gateway_access,description
1014,analogInput,ATS-Normal-voltage-L2-L3,8,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 8; read-only Normal voltage L2-L3.
1015,analogInput,ATS-Normal-voltage-L3-L1,9,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 9; read-only Normal voltage L3-L1.
1016,analogInput,ATS-Emergency-voltage-L1-L2,10,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 10; read-only Emergency voltage L1-L2.
1017,analogInput,ATS-Emergency-voltage-L2-L3,11,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 11; read-only Emergency voltage L2-L3.
1018,analogInput,ATS-Emergency-voltage-L3-L1,12,1,,U16,1/10,5,V,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 12; read-only Emergency voltage L3-L1.
1019,analogInput,ATS-Normal-frequency,13,1,,U16,1/10,27,Hz,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 13; read-only Normal frequency.
1020,analogInput,ATS-Emergency-frequency,14,1,,U16,1/10,27,Hz,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 14; read-only Emergency frequency.
1021,analogInput,ATS-Current-L1,15,1,,U16,1/10,3,A,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 15; read-only Current L1. CT/current sensing is unverified; readable values remain faulted.
1022,analogInput,ATS-Current-L2,16,1,,U16,1/10,3,A,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 16; read-only Current L2. CT/current sensing is unverified; readable values remain faulted.
1023,analogInput,ATS-Current-L3,17,1,,U16,1/10,3,A,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 17; read-only Current L3. CT/current sensing is unverified; readable values remain faulted.
1024,analogInput,ATS-Closed-transition-phase-difference,18,1,,U16,1/1,90,degrees,2000,6000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 18; read-only Closed-transition phase difference. Inter-source measurement requires qualified synchronization conditions; retain raw with qualification fault.
1025,analogInput,ATS-Synchronous-phase-angle-register,40,1,,U16,1/1,90,degrees,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 40; read-only Synchronous phase-angle register. Inter-source measurement requires qualified synchronization conditions; retain raw with qualification fault.
1026,multiStateInput,ATS-Normal-reported-phase-rotation,44,1,8:15,ENUM,1/1,95,,10000,30000,1=Disabled; 2=ABC; 3=CBA; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 44; read-only Normal reported phase rotation. Reported code may be retained while source is unavailable.
1027,multiStateInput,ATS-Emergency-reported-phase-rotation,44,1,0:7,ENUM,1/1,95,,10000,30000,1=Disabled; 2=ABC; 3=CBA; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 44; read-only Emergency reported phase rotation. Reported code may be retained while source is unavailable.
1028,multiStateInput,ATS-Expected-phase-rotation,45,1,,ENUM,1/1,95,,60000,180000,1=Disabled; 2=ABC; 3=CBA; 4=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 45; read-only Expected phase rotation. Native setting is read-only through this gateway.
1029,analogInput,ATS-Nominal-normal-voltage,46,1,,U16,1/10,5,V,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 46; read-only Nominal normal voltage. Native setting is read-only through this gateway.
1030,analogInput,ATS-Nominal-emergency-voltage,47,1,,U16,1/10,5,V,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 47; read-only Nominal emergency voltage. Native setting is read-only through this gateway.
1031,analogInput,ATS-Nominal-normal-frequency,48,1,,U16,1/10,27,Hz,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 48; read-only Nominal normal frequency. Native setting is read-only through this gateway.
1032,analogInput,ATS-Nominal-emergency-frequency,49,1,,U16,1/10,27,Hz,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 49; read-only Nominal emergency frequency. Native setting is read-only through this gateway.
1033,analogInput,ATS-Normal-phase-count,50,1,,U16,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 50; read-only Normal phase count. Native setting is read-only through this gateway.
1034,analogInput,ATS-Emergency-phase-count,51,1,,U16,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 51; read-only Emergency phase count. Native setting is read-only through this gateway.
1035,analogInput,ATS-Rated-current,52,1,,U16,1/1,3,A,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 52; read-only Rated current. Native setting is read-only through this gateway.
1036,multiStateInput,ATS-Transition-mode,56,1,0:1,ENUM,1/1,95,,10000,30000,1=Open; 2=Programmed; 3=Closed; 4=Reserved; 5=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 56; read-only Transition mode. Native setting is read-only through this gateway.
1037,multiStateInput,ATS-Operating-mode,56,1,2:3,ENUM,1/1,95,,10000,30000,1=Genset to genset; 2=Genset to utility; 3=Utility to utility; 4=Utility to generator-generator; 5=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 56; read-only Operating mode. Native setting is read-only through this gateway.
1038,multiStateInput,ATS-Supervised-transfer-switch,56,1,4:4,ENUM,1/1,95,,10000,30000,1=Auto; 2=Manual; 3=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 56; read-only Supervised transfer switch. Native setting is read-only through this gateway.
1039,analogInput,ATS-Active-delay-number,74,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 74; read-only Active delay number.
1040,analogInput,ATS-Active-delay-remaining,75,1,,U16,1/10,73,s,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 75; read-only Active delay remaining.
1041,analogInput,ATS-Active-delay-preset,76,1,,U16,1/10,73,s,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 76; read-only Active delay preset.
1042,analogInput,ATS-Normal-engine-start-delay,58,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 58; read-only Normal engine-start delay. Native setting is read-only through this gateway.
1043,analogInput,ATS-Emergency-engine-start-delay,59,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 59; read-only Emergency engine-start delay. Native setting is read-only through this gateway.
1044,analogInput,ATS-Normal-extended-engine-start-delay,60,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 60; read-only Normal extended engine-start delay. Native setting is read-only through this gateway.
1045,analogInput,ATS-Emergency-extended-engine-start-delay,61,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 61; read-only Emergency extended engine-start delay. Native setting is read-only through this gateway.
1046,analogInput,ATS-Normal-engine-cooldown,62,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 62; read-only Normal engine cooldown. Native setting is read-only through this gateway.
1047,analogInput,ATS-Emergency-engine-cooldown,63,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 63; read-only Emergency engine cooldown. Native setting is read-only through this gateway.
1048,analogInput,ATS-Standby-to-preferred-delay,64,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 64; read-only Standby-to-preferred delay. Native setting is read-only through this gateway.
1049,analogInput,ATS-Preferred-to-standby-delay,65,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 65; read-only Preferred-to-standby delay. Native setting is read-only through this gateway.
1050,analogInput,ATS-Off-delay-preferred-to-standby,66,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 66; read-only Off delay preferred-to-standby. Native setting is read-only through this gateway.
1051,analogInput,ATS-Off-delay-standby-to-preferred,67,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 67; read-only Off delay standby-to-preferred. Native setting is read-only through this gateway.
1052,analogInput,ATS-Fail-to-acquire-preferred-delay,68,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 68; read-only Fail-to-acquire preferred delay. Native setting is read-only through this gateway.
1053,analogInput,ATS-Fail-to-acquire-standby-delay,69,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 69; read-only Fail-to-acquire standby delay. Native setting is read-only through this gateway.
1054,analogInput,ATS-Fail-to-synchronize-delay,70,1,,U16,1/1,73,s,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 70; read-only Fail-to-synchronize delay. Native setting is read-only through this gateway.
1055,binaryInput,ATS-Fail-to-synchronize-enabled,71,1,0:0,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 71; read-only Fail-to-synchronize enabled. Native setting is read-only through this gateway.
1056,analogInput,ATS-Normal-overvoltage-dropout,77,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 77; read-only Normal overvoltage dropout. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1057,analogInput,ATS-Normal-overvoltage-pickup,78,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 78; read-only Normal overvoltage pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1058,analogInput,ATS-Normal-undervoltage-pickup,79,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 79; read-only Normal undervoltage pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1059,analogInput,ATS-Normal-undervoltage-dropout,80,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 80; read-only Normal undervoltage dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1060,binaryInput,ATS-Normal-voltage-unbalance-enabled,81,1,,BOOL,1/1,95,,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 81; read-only Normal voltage unbalance enabled. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1061,analogInput,ATS-Normal-voltage-unbalance-dropout,82,1,,U16,1/1,98,%,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 82; read-only Normal voltage unbalance dropout. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1062,analogInput,ATS-Normal-voltage-unbalance-pickup,83,1,,U16,1/1,98,%,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 83; read-only Normal voltage unbalance pickup. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1063,analogInput,ATS-Normal-voltage-debounce-time,84,1,,U16,1/10,73,s,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 84; read-only Normal voltage debounce time. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1064,analogInput,ATS-Emergency-overvoltage-dropout,85,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 85; read-only Emergency overvoltage dropout. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1065,analogInput,ATS-Emergency-overvoltage-pickup,86,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 86; read-only Emergency overvoltage pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1066,analogInput,ATS-Emergency-undervoltage-pickup,87,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 87; read-only Emergency undervoltage pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1067,analogInput,ATS-Emergency-undervoltage-dropout,88,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 88; read-only Emergency undervoltage dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1068,binaryInput,ATS-Emergency-voltage-unbalance-enabled,89,1,,BOOL,1/1,95,,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 89; read-only Emergency voltage unbalance enabled. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1069,analogInput,ATS-Emergency-voltage-unbalance-dropout,90,1,,U16,1/1,98,%,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 90; read-only Emergency voltage unbalance dropout. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1070,analogInput,ATS-Emergency-voltage-unbalance-pickup,91,1,,U16,1/1,98,%,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 91; read-only Emergency voltage unbalance pickup. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1071,analogInput,ATS-Emergency-voltage-debounce-time,92,1,,U16,1/10,73,s,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 92; read-only Emergency voltage debounce time. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1072,analogInput,ATS-Normal-overfrequency-dropout,93,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 93; read-only Normal overfrequency dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1073,analogInput,ATS-Normal-overfrequency-pickup,94,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 94; read-only Normal overfrequency pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1074,analogInput,ATS-Normal-underfrequency-dropout,95,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 95; read-only Normal underfrequency dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1075,analogInput,ATS-Normal-underfrequency-pickup,96,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 96; read-only Normal underfrequency pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1076,analogInput,ATS-Normal-frequency-dropout-time,97,1,,U16,1/10,73,s,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 97; read-only Normal frequency dropout time. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1077,analogInput,ATS-Emergency-overfrequency-dropout,98,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 98; read-only Emergency overfrequency dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1078,analogInput,ATS-Emergency-overfrequency-pickup,99,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 99; read-only Emergency overfrequency pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1079,analogInput,ATS-Emergency-underfrequency-dropout,100,1,,U16,1/1,98,% of pickup,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 100; read-only Emergency underfrequency dropout. Native setting is read-only through this gateway. Percent denominator: pickup. Configuration threshold, not a live alarm."
1080,analogInput,ATS-Emergency-underfrequency-pickup,101,1,,U16,1/1,98,% of nominal,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 101; read-only Emergency underfrequency pickup. Native setting is read-only through this gateway. Percent denominator: nominal. Configuration threshold, not a live alarm."
1081,analogInput,ATS-Emergency-frequency-dropout-time,102,1,,U16,1/10,73,s,60000,180000,,RW,read-only,"MPAC1500 old-map section 13; FC03 offset 102; read-only Emergency frequency dropout time. Native setting is read-only through this gateway. Configuration threshold, not a live alarm."
1082,multiStateInput,ATS-Expansion-board-1-type,153,1,,ENUM,1/1,95,,60000,180000,1=Not installed; 2=Standard; 3=Power; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 153; read-only Expansion board 1 type.
1083,multiStateInput,ATS-Expansion-board-2-type,154,1,,ENUM,1/1,95,,60000,180000,1=Not installed; 2=Standard; 3=Power; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 154; read-only Expansion board 2 type.
1084,multiStateInput,ATS-Expansion-board-3-type,155,1,,ENUM,1/1,95,,60000,180000,1=Not installed; 2=Standard; 3=Power; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 155; read-only Expansion board 3 type.
1085,multiStateInput,ATS-Expansion-board-4-type,156,1,,ENUM,1/1,95,,60000,180000,1=Not installed; 2=Standard; 3=Power; 4=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 156; read-only Expansion board 4 type.
1086,multiStateInput,ATS-Alarm-option-board,159,1,,ENUM,1/1,95,,60000,180000,1=Not installed; 2=Normal; 3=Chicago; 4=Silence; 5=Unknown,RO,read-only,MPAC1500 old-map section 13; FC03 offset 159; read-only Alarm option board.
1087,binaryInput,ATS-Battery-option-board-installed,160,1,0:0,BOOL,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 160; read-only Battery option board installed.
1088,binaryInput,ATS-Main-board-output-1,193,1,0:0,BOOL,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 193; read-only Main board output 1. Electrical state only; configured function is not established.
1089,binaryInput,ATS-Main-board-output-2,193,1,1:1,BOOL,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 193; read-only Main board output 2. Electrical state only; configured function is not established.
1090,binaryInput,ATS-Main-board-input-1,194,1,0:0,BOOL,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 194; read-only Main board input 1. Electrical state only; configured function is not established.
1091,binaryInput,ATS-Main-board-input-2,194,1,1:1,BOOL,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 194; read-only Main board input 2. Electrical state only; configured function is not established.
1092,analogInput,ATS-Expansion-board-1-outputs-bitmap,195,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 195; read-only Expansion board 1 outputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1093,analogInput,ATS-Expansion-board-2-outputs-bitmap,196,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 196; read-only Expansion board 2 outputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1094,analogInput,ATS-Expansion-board-3-outputs-bitmap,197,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 197; read-only Expansion board 3 outputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1095,analogInput,ATS-Expansion-board-4-outputs-bitmap,198,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 198; read-only Expansion board 4 outputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1096,analogInput,ATS-Expansion-board-1-inputs-bitmap,199,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 199; read-only Expansion board 1 inputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1097,analogInput,ATS-Expansion-board-2-inputs-bitmap,200,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 200; read-only Expansion board 2 inputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1098,analogInput,ATS-Expansion-board-3-inputs-bitmap,201,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 201; read-only Expansion board 3 inputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1099,analogInput,ATS-Expansion-board-4-inputs-bitmap,202,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 202; read-only Expansion board 4 inputs bitmap. Meaning requires corresponding installed expansion board; absent boards are not applicable.
1100,analogInput,ATS-Software-output-state-bitmap,249,1,,U16,1/1,95,,10000,30000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 249; read-only Software output state bitmap. Native setting is read-only through this gateway. Raw logical state; no assigned functions means not applicable.
1101,analogInput,ATS-Software-output-assignment-bitmap,250,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 250; read-only Software output assignment bitmap.
1102,analogInput,ATS-Remote-monitored-input-state-bitmap,251,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 251; read-only Remote monitored input state bitmap. Raw logical state; no assigned functions means not applicable.
1103,analogInput,ATS-Remote-monitored-input-assignment-bitmap,252,1,,U16,1/1,95,,10000,30000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 252; read-only Remote monitored input assignment bitmap.
1104,analogInput,ATS-Accessory-setup-raw,739,1,,U16,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 739; read-only Accessory setup raw. Native setting is read-only through this gateway.
1105,binaryInput,ATS-Exercise-in-progress,741,1,0:0,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Exercise in progress.
1106,binaryInput,ATS-In-phase-monitor-active,741,1,1:1,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only In-phase monitor active.
1107,binaryInput,ATS-Load-control-in-progress,741,1,2:2,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Load control in progress.
1108,binaryInput,ATS-Peak-shaving-in-progress,741,1,3:3,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Peak shaving in progress.
1109,binaryInput,ATS-Loaded-test-in-progress,741,1,4:4,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Loaded test in progress.
1110,binaryInput,ATS-Unloaded-test-in-progress,741,1,5:5,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Unloaded test in progress.
1111,binaryInput,ATS-Auto-loaded-test-in-progress,741,1,6:6,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 741; read-only Auto-loaded test in progress.
1112,binaryInput,ATS-Maintenance-mode-DIP-switch,742,1,0:0,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 742; read-only Maintenance mode DIP switch.
1113,binaryInput,ATS-Password-disabled-DIP-switch,742,1,1:1,BOOL,1/1,95,,5000,15000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 742; read-only Password-disabled DIP switch.
1114,binaryInput,ATS-Next-exercise-enabled,904,1,0:0,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 904; read-only Next exercise enabled. Native setting is read-only through this gateway.
1115,binaryInput,ATS-Next-exercise-loaded,904,1,1:1,BOOL,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 904; read-only Next exercise loaded. Native setting is read-only through this gateway.
1116,multiStateInput,ATS-Next-exercise-interval,904,1,2:3,ENUM,1/1,95,,60000,180000,1=DMO (manual notation); 2=Day; 3=Week; 4=Month; 5=Unknown,RW,read-only,MPAC1500 old-map section 13; FC03 offset 904; read-only Next exercise interval. Native setting is read-only through this gateway.
1117,analogInput,ATS-Next-exercise-repeat-rate,904,1,4:7,U16,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 904; read-only Next exercise repeat rate. Native setting is read-only through this gateway.
1118,binaryInput,ATS-Next-exercise-running,904,1,8:8,BOOL,1/1,95,,60000,180000,,RO,read-only,MPAC1500 old-map section 13; FC03 offset 904; read-only Next exercise running.
1119,characterStringValue,ATS-Next-exercise-start-time,905,1,,CLOCK,1/1,95,,60000,180000,,RW,read-only,MPAC1500 old-map section 13; FC03 offset 905; read-only Next exercise start time. Native setting is read-only through this gateway. Controller local calendar/clock; no timezone or UTC inference.
